Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Mean,Error,StdDev,Median,Scaled,ScaledSD
ArrayIndexer_Get,.NET 4.7,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,CsProjnet47,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,0.6067 ns,0.0121 ns,0.0149 ns,0.6030 ns,1.00,0.00
ArrayIndexer_Set,.NET 4.7,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,CsProjnet47,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,0.5861 ns,0.0139 ns,0.0130 ns,0.5826 ns,0.97,0.03
ArraySegmentIndexer_Get,.NET 4.7,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,CsProjnet47,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,4.1642 ns,0.0896 ns,0.1255 ns,4.1172 ns,6.87,0.26
ArraySegmentIndexer_Set,.NET 4.7,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,CsProjnet47,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,3.7260 ns,0.0716 ns,0.0704 ns,3.7229 ns,6.15,0.18
StringIndexer_Get,.NET 4.7,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,CsProjnet47,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,0.6216 ns,0.0128 ns,0.0249 ns,0.6185 ns,1.03,0.05
SpanArrayIndexer_Get,.NET 4.7,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,CsProjnet47,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1.0164 ns,0.0206 ns,0.0193 ns,1.0113 ns,1.68,0.05
SpanArraySegmentIndexer_Get,.NET 4.7,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,CsProjnet47,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,0.8996 ns,0.0179 ns,0.0167 ns,0.9003 ns,1.48,0.04
SpanStringIndexer_Get,.NET 4.7,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,CsProjnet47,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1.0267 ns,0.0160 ns,0.0202 ns,1.0243 ns,1.69,0.05
SpanArrayIndexer_Set,.NET 4.7,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,CsProjnet47,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1.0127 ns,0.0200 ns,0.0187 ns,1.0094 ns,1.67,0.05
SpanArraySegmentIndexer_Set,.NET 4.7,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,CsProjnet47,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1.0722 ns,0.0218 ns,0.0491 ns,1.0671 ns,1.77,0.09
